source_filename,Agreement Name,Agreement Classification,Agreement Purpose,Party1 Name,Party1 Role,Party2 Name,Party2 Role,Effective Date,Signature Date,Term,Renewal Term,Recurring Monthly Charges,Nonrecurring Charges,Services,Locations,Payment Terms,Contract Type,Clauses
20171645720518_Cox CPNI kj signed filled out.pdf,CPNI Registration Form,Registration Form,To add authorized individuals to an account and verify callers before providing account information.,Cox Communications,Provider,Not specified.,Customer,Not specified.,Not specified.,Not specified.,Not specified.,Not specified.,Not specified.,"Account information access, changes, modifications, or alterations to services.",Not specified.,Not specified.,,
20171645727764_Conifer - signed.pdf,Service Order,Service Agreement,Service provisioning,Lumen Technologies Group,Provider,Select Medical Corp.,Customer,Not specified.,2/16/2022,36,Month-to-month,$712.00 ,$0.00 ,"10M FastE Dedicated Access, Port-10M FastE, Standard Delivery - To the MPOE","26367 CONIFER RD, A, CONIFER, CO 80433",Net 30,,
20171645734570_Ten4 for  Mclean -6733 Curran St_CSA.pdf,Commercial Services Agreement,Service Agreement,Service provisioning,"CoxCom, LLC d/b/a Cox Business; Cox Virginia Telcom, LLC",Provider,Ten4 for Mclean - Curran St,Customer,2/24/2022,2/24/2022,36,12,$265.00 ,$0.00 ,"Cox Fiber Internet 50Mbps - Sym, IP Address Block - /31 (2 Ips), Static IPv4 LAN Address Block - /30, Cox Fiber Internet Installation","13900 Lincoln Park Drive, Suite 500 Herndon, VA 20171; 6733 Curran St STE 100 McLean, VA 22101; 1700 Union Avenue STE B Baltimore, MD 21211",Not specified.,,
20171645736745_Spectrum (Ten4) Louisville KY_partially executed 02242022.pdf,Spectrum Enterprise Service Agreement,Service Agreement,Service provisioning,"Charter Communications Operating, LLC",Provider,Select Medical (SMC),Customer,Not specified.,2/24/2022,36,Not specified.,349,Not specified.,Fiber Internet Access,"2226 Holiday Manor Center, Louisville, KY 40222",Charges are due in accordance with monthly invoice,,
20171645737700_Spectrum - Coax to Fiber Collinsville IL_partially executed 02242022.pdf,Spectrum Enterprise Service Agreement,Service Agreement,Service provisioning,"Charter Communications Operating, LLC",Provider,Select Medical (SMC),Customer,Not specified.,2/24/2022,36,Not specified.,349,Not specified.,Fiber Internet Access,"101 UNITED DRIVE COLLINSVILLE, IL 62234",Charges are due in accordance with monthly invoice,,
20171645738164_Spectrum - Indian Hills_partially executed 02242022.pdf,Spectrum Enterprise Service Agreement,Service Agreement,Service provisioning,"Charter Communications Operating, LLC",Provider,Select Medical Corporation,Customer,Not specified.,2/24/2022,36,Not specified.,379,Not specified.,Fiber Internet Access,"500 San Fernando Mission Blvd, San Fernando, CA 91340",Charges are due in accordance with monthly invoice,,
20171646065453_Please_DocuSign_Spectrum_-_Childrens_Therapy.pdf,Spectrum Enterprise Service Agreement,Service Agreement,Service provisioning,"Charter Communications Operating, LLC",Provider,Select Medical (SMC),Customer,Not specified.,2/25/2022,36,Not specified.,549,Not specified.,Fiber Internet Access,"13010 Eastgate Parkway, Louisville, KY 40223",Charges are due in accordance with monthly invoice,,
20171646406765_Spectrum - Coax to Fiber Collinsville IL_partially executed 02242022.pdf,Spectrum Enterprise Service Agreement,Service Agreement,Service provisioning,"Charter Communications Operating, LLC",Provider,Select Medical (SMC),Customer,Not specified.,3/4/2022,36,Not specified.,349,Not specified.,Fiber Internet Access,"101 UNITED DRIVE COLLINSVILLE, IL 62234",Not specified.,,
20171646406967_Spectrum - Indian Hills_partially executed 02242022 (1).pdf,Spectrum Enterprise Service Agreement,Service Agreement,Service provisioning,"Charter Communications Operating, LLC",Provider,Select Medical Corporation,Customer,Not specified.,2/25/2022,36,Not specified.,379,Not specified.,Fiber Internet Access,"500 San Fernando Mission Blvd, San Fernando, CA 91340",Charges are due in accordance with monthly invoice,,
20171646407339_Select Medical Corporation EDI - 030322 Golden Physical Therapy - OP ID 21361792 copy.pdf,Comcast Enterprise Services Sales Order Form,Sales Order Form,service provisioning,Comcast Business,provider,Select Medical Corporation,customer,Not specified.,3/4/2022,36,Not specified.,$255.00 ,$0.00 ,"['EDI - Network Interface - 10/100', 'EDI - Bandwidth']","[{'Location Name/Site ID': '112 N RUBEY DR-SUITE 139', 'Address 1': '112 N RUBEY DR', 'Address 2': 'SUITE 135 BV', 'City': 'GOLDEN', 'State': 'CO', 'Zip Code': '80403'}]",Not specified.,,
20171646421701_Please_DocuSign_Spectrum_(Ten4)_Louisville_K.pdf signed.pdf,Spectrum Enterprise Service Agreement,Service Agreement,Service provisioning,"Charter Communications Operating, LLC",Provider,Select Medical (SMC),Customer,Not specified.,3/4/2022,36,Not specified.,349,Not specified.,Fiber Internet Access,"2226 Holiday Manor Center Louisville, KY 40222",Charges are due in accordance with monthly invoice,,
20171646683623_kpeltz_Innovative Business Solutions_TORI LOMBARDI _comcast_packages_3-7-2022.pdf,COMCAST BUSINESS SERVICE ORDER AGREEMENT,Service Agreement,service provisioning,"Comcast Cable Communications Management, LLC",provider,Ten4 for PT Plus - Arvada,customer,Not specified.,3/7/2022,1,Not specified.,$179.90 ,$199.95 ,"Business Internet, Business Internet 100 (100/15), Equipment - Modem (Business Wireless Gateway), Install Fee","9950 W 80th Ave, #11, Arvada, Colorado 80005",Not specified.,,
20171646689075_SMC Armstrong.pdf,Commercial Services Agreement,Service Agreement,Service provisioning,"Armstrong Utilities, Inc.",Provider,Select Medical Corporation,Customer,3/7/2022,2/18/2022,0,Same length as the Initial Term,99.95,0,"['Internet', 'Telephone', 'Cable TV', 'Misc Services']","['3135 Biggs Highway, Suite 6, North East MD 21901']",Subscriber will pay a monthly fee to Armstrong of $99.95,,
20171646927412_2022 Comcast SMC for Nashville Sales Order - signed.pdf,Comcast Enterprise Services Sales Order Form,Service Agreement,Service provisioning,Comcast Business,Provider,Select Medical Corporation,Customer,2/1/2022,2/1/2022,36,Not specified.,$485.00 ,$0.00 ,"['EDI - Network Interface - 10/100', 'EDI - Bandwidth']","['2000 HAYES ST-FL 1-Select Medid, NASHVILLE, TN 37203']",Not specified.,,
20171647009455_ATT LOA For SMC.pdf,Customer Letter of Authority,Letter of Authority,"Authorizes Telarus, LLC and others to act on behalf of Select Medical Corp in dealings with AT&T regarding telecommunications products and services.",AT&T Corp.,Provider,Select Medical Corp,Customer,7/29/2021,Not specified.,36,Not specified.,Not specified.,Not specified.,"Telecommunications, data, information, wireless services",Not specified.,Not specified.,,
20171647010770_kpeltz_Innovative Business Solutions_TORI LOMBARDI _comcast_packages_3-11-2022.pdf,Service Order Agreement,Service Agreement,Service Provisioning,"Comcast Cable Communications Management, LLC",Provider,Ten4 for Kids Therapy - Libertyville,Customer,Not specified.,3/11/2022,Not specified.,Month to Month,$179.90 ,$119.95 ,"Business Internet 100 (100/15) (1), Equipment Fees [Modem (Business Wireless Gateway)]","1860 W Winchester Rd, Libertyville, Illinois",Not specified.,,
20171647011168_Spectrum - Madison East_partiall executed SIGNED.PDF,Service Order,Service Agreement,Service provisioning,"Charter Communications Operating, LLC",Provider,"Concentra Health Services, Inc.",Customer,3/11/2022,2/8/2022,36,Not specified.,379,0,"['Fiber Internet Access', 'Ethernet Services', 'Voice Service']","['4260 E Towne Blvd, Madison, WI 53704']",Due in accordance with monthly invoice,,
20171647294583_Spectrum - Lenior  City TN_partially executed 03142022.pdf,Spectrum Enterprise Service Agreement,Service Agreement,Service provisioning,"Charter Communications Operating, LLC",Provider,Select Medical Corporation,Customer,Not specified.,3/14/2022,36,Not specified.,349,Not specified.,Fiber Internet Access,"950 Highway 321 N, Lenoir City, TN 37772",Charges are due in accordance with monthly invoice,,
20171647354414_1259 Highland Dr Washington NC 27889 copy.pdf,Commercial Service Order & Agreement,Service Agreement,Service provisioning,Suddenlink Communications,Provider,Select Medical Corporation Ten4 for SPT Washingt,Customer,Not specified.,3/2/2022,0,Monthly,$65.44 ,$99.99 ,"['100x10M Internet', 'Installation']","['1259 Highland Dr., Washington, NC 27889']","Due upon installation of the Services or as otherwise set forth on the Service Order. Thereafter, Customer agrees to pay monthly recurring Service charges and Equipment charges (if any) in advance, including all applicable fees (such as restoration or experience fees), taxes, regulatory fees, franchise fees, surcharges (including sports and broadcast tv surcharges), or other government assessments no later than the date indicated on Customer’s bill.",,
20171647368953_Spectrum - Lenior  City TN_partially executed 03142022.pdf,Spectrum Enterprise Service Agreement,Service Agreement,Service provisioning,"Charter Communications Operating, LLC",Provider,Select Medical Corporation,Customer,Not specified.,3/15/2022,36,Not specified.,349,Not specified.,Fiber Internet Access,"950 Highway 321 N, Lenoir City, TN 37772",Not specified.,,
20171647540385_kpeltz_Innovative Business Solutions_TORI LOMBARDI _comcast_packages_3-17-2022.pdf,Service Order Agreement,Service Agreement,Service provisioning,"Comcast Cable Communications Management, LLC",Provider,Ten4 for Robinet PT - Byron Center,Customer,Not specified.,3/17/2022,1,Not specified.,179.9,119.95,"Business Internet 100 (100/15) (1), Equipment Fees [Modem (Business Wireless Gateway)]","['365 84th St SW, SUITE 4, Byron Center, Michigan 49315', '1700 Union Ave, Suite B, Baltimore, MD 21211']",Not specified.,,
20171647546746_Comcast Business for Kids Therapy - Libertyville_partially executed 03172022.pdf,Comcast Enterprise Services Sales Order Form,Sales Order Form,Service provisioning,Comcast Enterprise Services,Provider,Select Medical Corporation,Customer,3/11/2022,3/17/2022,36,Not specified.,$484.95 ,$0.00 ,"EDI - Network Interface 10/100, EDI - Bandwidth","1860 W WINCHESTER RD-STE 108, LIBERTYVILLE, IL",Not specified.,,
20171647613113_Comcast Business - Tamarac FL Sales Order_partially executed 01102022.pdf,Comcast Enterprise Services Sales Order Form,Service Agreement,Service provisioning,Comcast,Provider,Select Medical Corporation,Customer,12/6/2021,1/10/2022,36,Not specified.,484.95,0,"Ethernet Services, Trunk Services, Off-Net Services","1700 Union Ave Ste B, Baltimore, MD 21211; 7160 N UNIVERSITY DR, TAMARAC, FL 33321",Customer shall pay Comcast one hundred percent (100%) of the non-amortized Custom Installation Fee prior to the installation of Service.,,
20171648571382_kpeltz_Innovative Business Solutions_TORI LOMBARDI _comcast_packages_3-29-2022.pdf,Service Order Agreement,Service Agreement,Service Provisioning,"Comcast Cable Communications Management, LLC",Provider,Ten4 for Family PT,Customer,Not specified.,3/29/2022,1,Not specified.,179.9,99.95,"Business Internet 100 (100/15), Business Wireless Gateway, Installation","['10 Commerce Park N, Unit 18, Bedford, New Hampshire 03110', '1700 Union Ave, Suite B, Baltimore, MD 21211']",Not specified.,,
20171648575027_SMC - Hacienda AZ - 50M Fiber Plus__1 - Order Form Contract - Integrated Order_2022-03-29.pdf,Fiber+ Internet Bundle Offer,Service Agreement,Service Provisioning,Lumen Technologies Group,Provider,SELECT MEDICAL CORPORATION,Customer,Not specified.,3/29/2022,36,month-to-month,$129.00 ,$0.00 ,"['Fiber+ Internet', 'Building Extension', 'Microsoft Office 365', 'Basic Web Hosting', 'DNS Registration', 'Data Backup', 'Cloud Fax', 'Search Engine Submission']","['2720 E RIVER RD, TUCSON AZ 85718', '1700 Union Avenue Suite B Baltimore, MD 21211']",Not specified.,,
20171648651604_kpeltz_Innovative Business Solutions_TORI LOMBARDI _comcast_packages_3-29-2022 (1).pdf,Business Service Order Agreement,Service Agreement,Service provisioning,"Comcast Cable Communications Management, LLC",Provider,Ten4 for SPT Mechanicsburg PA 27030,Customer,Not specified.,3/30/2022,36,Not specified.,179.9,99.95,"Business Internet 100 (100/15), Business Wireless Gateway, Installation","2 Kacey Ct, SUITE 102, Mechanicsburg, Pennsylvania",Not specified.,,
20171648667169_ATT LOA For SMC.pdf,Customer Letter of Authority,Letter of Authority,"Authorize Telarus, LLC and others to act on behalf of Select Medical Corp in dealings with AT&T regarding telecommunications products and services.",AT&T Corp.,Provider,Select Medical Corp,Customer,7/29/2021,Not specified.,36,Not specified.,Not specified.,Not specified.,"Telecommunications, data, information, wireless services",Not specified.,Not specified.,,
20171648847142_Comcast Business for Kids Therapy - Libertyville_ countersigned.pdf,Comcast Enterprise Services Sales Order Form,Sales Order Form,Service provisioning,Comcast,Provider,Select Medical Corporation,Customer,4/1/2022,3/17/2022,36,Not specified.,$450.05 ,$0.00 ,"EDI - Network Interface 10/100, EDI - Bandwidth","1860 W WINCHESTER RD-STE 108, LIBERTYVILLE, IL",Not specified.,,
20171648847277_Please_DocuSign_signed_Spectrum_-_Los_Alamit.pdf,Spectrum Enterprise Service Agreement,Service Agreement,Service provisioning,"Charter Communications Operating, LLC",Provider,Select Medical Corporation,Customer,Not specified.,4/1/2022,36,Not specified.,349,Not specified.,['Fiber Internet Access'],"['5122 Katella Ave, Los Alamitos, CA']",Not specified.,,
20171649278801_kpeltz_Innovative Business Solutions_Kate Wainwright _comcast_packages_4-6-2022.pdf,Business Service Order Agreement,Service Agreement,Service provisioning,"Comcast Cable Communications Management, LLC",Provider,Ten4 for NovaCare Rehabilition,Customer,Not specified.,4/6/2022,Not specified.,Not specified.,179.9,199.95,"Business Internet, Business Wireless Gateway, Installation","['1889 Woodmoor Dr, Monument, Colorado 80132', '1700 Union Ave, Suite B, Baltimore, MD 21211']",Not specified.,,
20171649339868_Comcast Business Bentlyville_partially executed 04062022.pdf,Comcast Enterprise Services Sales Order Form,Service Agreement,Service provisioning,Comcast,Provider,Select Medical Corporation,Customer,3/15/2022,4/6/2022,36,Not specified.,$357.00 ,$0.00 ,"['EDI - Network Interface (HFC)', 'EDI - Bandwidth (HFC)']","['998-B MAIN STREET, BENTLEYVILLE, PA 15314']",Customer shall pay Comcast one hundred percent (100%) of the non-amortized Custom Installation Fees prior to the installation of Service.,,
20171649340473_Lumen - Fiber to replace Coax at 50760_fully executed 04062022.pdf,Lumen - Fiber to replace Coax at 50760,Service Agreement,Service provisioning,Lumen,Provider,Select Medical Corporation,Customer,Not specified.,4/6/2022,36,Month-to-month,$444.50 ,$0.00 ,"20M FastE Dedicated Access, Port- 20M FastE, Standard Delivery - To the MPOE","1715 CAPE CORAL PKWY W, 21, CAPE CORAL, FL 33914",Not specified.,,
20171649341003_Verizon Novacare MD_partially executed 04062022.pdf,U.S. Services Agreement Master Service Order Form,Master Service Agreement,Service provisioning,Verizon Business Network Services LLC,Provider,SELECT MEDICAL CORPORATION,Customer,Not specified.,4/6/2022,36,Not specified.,450,0,"Access +, Internet Dedicated +","12510 PROSPERITY DR, STE 120, SILVER SPRING, MD 20904-1615, United States",Not specified.,,
20171649342814_Select Medical Bentlyville_Sales order Counter Signed.pdf,Comcast Enterprise Services Sales Order Form,Sales Order Form,Service provisioning,Comcast,Provider,Select Medical Corporation,Customer,3/15/2022,4/7/2022,36,Not specified.,$357.00 ,$0.00 ,"['EDI - Network Interface (HFC)', 'EDI - Bandwidth (HFC)']","['998-B MAIN STREET, BENTLEYVILLE, PA 15314']",Customer shall pay Comcast one hundred percent (100%) of the non-amortized Custom Installation Fees prior to the installation of Service.,,
20171649867883_Select Medical Corporation 4.13.22 - signed.pdf,Commercial Service Agreement,Service Agreement,Service provisioning,"Armstrong Utilities, Inc.",Provider,Select Medical Corporation,Customer,4/13/2022,4/13/2022,MTM,Same length as the Initial Term,199.95,79.95,['Zoom Professional 3'],"['8049 South Ave. Youngstown, OH 44512']",Not specified.,,
20171649961768_Windstream - Trumball_partially executed 04142022.pdf,Amendment to Windstream Agreement,Service Agreement,Service provisioning,Windstream,Provider,Select Medical Corporation,Customer,4/14/2022,4/14/2022,36,Not specified.,$850.00 ,$0.00 ,"MPLS VPN, Ethernet Access - 100 Mb, MPLS VPN Service - 100 Mb Intrastate","SelMed OCD00000 Trumball - Warren OH, 1350 E MARKET ST, FLR 9, WARREN, OH 44483-6608",Not specified.,,
20171649967117_Windstream - Select Medical Trumball_Fully executed 04142022.pdf,AMENDMENT TO WINDSTREAM AGREEMENT,Service Agreement,service provisioning,WINDSTREAM,provider,Select Medical Corporation,customer,4/14/2022,4/14/2022,36,Not specified.,$850.00 ,$0.00 ,"MPLS VPN, Ethernet Access - 100 Mb, MPLS VPN Service - 100 Mb Intrastate","1350 E MARKET ST, FLR 9, WARREN, OH 44483-6608",Not specified.,,
20171650463225_Keystone Rehab System 4.13.22 - signed.pdf,Commercial Services Agreement,Service Agreement,Service provisioning,"Armstrong Utilities, Inc.",Provider,Keystone Rehab System,Customer,13-Apr-22,20-Apr-22,36,Same length as the Initial Term,$84.95 ,$17.50 ,"Internet (Zoom Professional), Misc Services (Static IP)","203 Highpointe Blvd Ste 100 Seven Fields, PA 16046",Not specified.,,
20171650484530_Windstream - Boardman Vibra 100Mb MPLS Amendment_partially executed 04192022.pdf,AMENDMENT TO WINDSTREAM AGREEMENT,Service Agreement,Service provisioning,Windstream,Provider,Select Medical Corporation,Customer,4/19/2022,4/19/2022,36,Not specified.,$850.00 ,$0.00 ,"MPLS VPN, Ethernet Access - 100 Mb, MPLS VPN Service - 100 Mb Intrastate","8049 SOUTH AVE, YOUNGSTOWN, OH 44512-6154",Not specified.,,
20171650490925_Windstream - Boardman Vibra 100Mb MPLS Amendment_Countersigned.pdf,AMENDMENT TO WINDSTREAM AGREEMENT,Service Agreement,Service provisioning,WINDSTREAM,Provider,Select Medical Corporation,Customer,4/20/2022,4/20/2022,36,Not specified.,$850.00 ,$0.00 ,"MPLS VPN, Ethernet Access - 100 Mb, MPLS VPN Service - 100 Mb Intrastate","8049 SOUTH AVE, YOUNGSTOWN, OH 44512-6154",Not specified.,,
20171650571449_Select Medical Holdings Corporation-__1 - Order Form Contract - Integrated Order_2022-04-21.pdf,Fiber+ Internet Package Attachment,Service Agreement,Service provisioning,Lumen,Provider,Select Medical Corporation,Customer,Not specified.,4/21/2022,24,month-to-month,$139.00 ,$0.00 ,"Fiber+ Internet, Building Extension Service",3770 8TH ST SW Suite GI ALTOONA IA 50009,Not specified.,,
20171650998090_Ten4 for KORT 8110 S Yale Ave Tulsa_CSA.pdf,Commercial Services Agreement,Service Agreement,Service provisioning,"CoxCom, LLC., Cox Oklahoma Telcom, LLC",Provider,Select Medical Corporation,Customer,Not specified.,4/26/2022,12,12,$93.99 ,$0.00 ,"CBI 100 - 100Mbps x 20Mbps includes Cox WiFi 10 Free Access Accounts and 25 Free PC Security Suites, Dynamic IP Address, CBI Modem, Cox Business Internet Install, CBI Modem Activation","8110 S Yale Ave STE 201 Tulsa, OK 74137",Due date on the invoice. Any amount not received by the due date shown on the applicable invoice will be subject to interest or a late charge no greater than the maximum rate allowed by law.,,
20171651004820_Ten4 for DJV_CSA College.pdf,Commercial Services Agreement,Service Agreement,Service provisioning,"Cox Communications Las Vegas, Inc.; Cox Nevada Telcom, LLC",Provider,Select Medical Corporation,Customer,Not specified.,4/26/2022,12,12,$123.99 ,$0.00 ,"CBI 100 - 100Mbps x 20Mbps includes Cox WiFi 10 Free Access Accounts and 25 Free PC Security Suites, Dynamic IP Address, CBI Modem, Cox Business Internet Install, CBI Modem Activation","1700 Vegas Drive, Las Vegas, NV 89106; 555 College Dr STE C Henderson, NV 89015; 1700 Union Ave, Suite B Baltimore, MD 21211","Customer shall pay Cox all monthly recurring charges (MRCs) and all non-recurring charges (NRCs), if any, by the due date on the invoice. Any amount not received by the due date shown on the applicable invoice will be subject to interest or a late charge no greater than the maximum rate allowed by law.",,
20171651064730_Verizon Concentra Fiber ACC ADI Form_partially executed 04262022.pdf,U.S. Services Agreement Master Service Order Form,Master Service Agreement,Service provisioning,Verizon Business Network Services LLC,Provider,CONCENTRA Health Services Inc.,Customer,Not specified.,4/26/2022,36,Not specified.,362.2,0,"Access +, Internet Dedicated +","13302 PENNSYLVANIA AVE, HAGERSTOWN, MD 21742-2675, United States",Not specified.,,
20171651064746_Verizon Sales_CPNI signed - Volvo.pdf,Sales Authorization and CPNI Consent Form,Consent Form,Service provisioning,Verizon,Provider,CONCENTRA INC.,Customer,4/18/2022,Not specified.,Not specified.,Not specified.,Not specified.,Not specified.,Telecommunications and interconnected VoIP services,"13302 PENNSYLVANIA AVE, HAGERSTOWN, MD 21742",Not specified.,,
20171651066097_Select Medical 2100 N Amidon_CSA.pdf,Commercial Services Agreement,Service Agreement,Service provisioning,"Cox Communications Kansas, LLC; Cox Kansas Telcom, LLC",Provider,Select Medical Corporation,Customer,Not specified,4/27/2022,36,12,$300.00 ,$0.00 ,"['Cox Fiber Internet 50Mbps - Sym', 'IP Address Block - /30 (4 IPs)', 'Static IPV6 LAN Address Block - /56', 'IPv4/IPv6 Dual-Stack', 'Static IPv4 LAN Address Block - /30', 'Cox Fiber Internet Installation']","['2100 N Amidon Ave STE 208, Wichita, KS 67203', '1700 Union Avenue STE B, Baltimore, MD 21211']",Not specified,,
20171651084456_Select Medical 2100 N Amidon_CSA.pdf,Commercial Services Agreement,Service Agreement,Service provisioning,"Cox Communications Kansas, LLC; Cox Kansas Telcom, LLC",Provider,Select Medical Corporation,Customer,Not specified,4/27/2022,36,12,$300.00 ,$0.00 ,"Cox Fiber Internet 50Mbps - Sym, IP Address Block - /30 (4 IPs), Static IPV6 LAN Address Block - /56, IPv4/IPv6 Dual-Stack, Static IPv4 LAN Address Block - /30, Cox Fiber Internet Installation","Wichita, KS; Baltimore, MD",Not specified,,
20171651153359_kpeltz_Innovative Business Solutions_TORI LOMBARDI _comcast_packages_4-27-2022.pdf,Business Service Order Agreement,Service Agreement,Service provisioning,"Comcast Cable Communications Management, LLC",Provider,Ten4 for Choice PT,Customer,Not specified.,4/27/2022,1,Not specified.,179.9,99.95,"Business Internet 100 (100/15), Modem (Business Wireless Gateway), Install Fee","840 W Main St, #1, Richmond, Vermont",Not specified.,,
20171651154300_kpeltz_Innovative Business Solutions_ZANE GEE _comcast_packages_4-27-2022.pdf,Service Order Agreement,Service Agreement,Service provisioning,"Comcast Cable Communications Management, LLC",Provider,Ten4 for Vermont Sports Med Center,Customer,Not specified.,4/27/2022,1,Not specified.,$179.90 ,$99.95 ,"Business Internet 100 (100/15), Modem (Business Wireless Gateway), Install Fee","85 Rte 4a W, Castleton, Vermont",Not specified.,,
20171651154731_kpeltz_Innovative Business Solutions_TORI LOMBARDI _comcast_packages_4-27-2022 (1).pdf,Business Service Order Agreement,Service Agreement,service provisioning,"Comcast Cable Communications Management, LLC",provider,Ten4 for Vermont Sports Med Center - Killington,customer,Not specified.,4/27/2022,1,Not specified.,$179.90 ,$99.95 ,"Business Internet 100 (100/15), Modem (Business Wireless Gateway), Install Fee","['3902 Killington Rd, Killington, Vermont', '1700 Union Ave, Suite B, Baltimore, MD']",Not specified.,,
20171651161276_Comcast Business - Mt. Juliet Sales Order_partially executed 04282022.pdf,Comcast Enterprise Services Sales Order Form,Service Agreement,Service provisioning,Comcast,Provider,Select Medical Corporation,Customer,4/27/2022,4/28/2022,36,Not specified.,$300.05 ,$199.00 ,"['Network Interface', 'Bandwidth']","[{'Location Name': '5000 CROSSINGS CIR-STE', 'Address 1': '5000 Crossings Cir', 'Address 2': 'Ste 100', 'City': 'Mount Juliet', 'State': 'TN', 'Zip Code': '37122'}]",Not specified.,,
20171651166080_Windstream - SSH Davenport IA_partially executed 04282022.signed.pdf,AMENDMENT TO WINDSTREAM AGREEMENT,Service Agreement,Service provisioning,Windstream,Provider,Select Medical Corporation,Customer,4/28/2022,4/28/2022,36,Not specified.,"$1,580.00 ",$0.00 ,"MPLS VPN, Ethernet Access","1227 E RUSHOLME ST, FLR 3, DAVENPORT, IA 52803-2459",Not specified.,,
20171651166549_Windstream - SSH Davenport IA_Fully executed 04282022.signed.pdf,Amendment to Windstream Agreement,Service Agreement,Service provisioning,Windstream,Provider,Select Medical Corporation,Customer,4/28/2022,4/28/2022,36,Not specified.,"$1,580.00 ",$0.00 ,"MPLS VPN, Ethernet Access, MPLS VPN Service","1227 E RUSHOLME ST, FLR 3, DAVENPORT, IA 52803-2459",Not specified.,,
20171651175958_Armstrong Boardman-Vibra 50mb_partially executed 04282022.pdf,Commercial Service Agreement,Service Agreement,Service provisioning,"Armstrong Utilities, Inc.",Provider,Select Medical Corporation,Customer,4/28/2022,4/28/2022,36,1,$420.00 ,$500.00 ,Dedicated Internet Access,"8049 South Ave, Youngstown, Ohio 44512",Not specified.,,
20171651176307_Armstrong Boardman - 100 mb_partially executed 04282022.pdf,Commercial Service Agreement,Service Agreement,Service provisioning,"Armstrong Utilities, Inc",Provider,Select Medical Corporation,Customer,4/28/2022,4/28/2022,36,1,550,500,Dedicated Internet Access,"8049 South Ave, Youngstown, Ohio 44512",Due and payable by Subscriber on the date indicated on invoice,,
20171651182029_Select Medical Corporation - 100Mb DIA  50Mb DIA - approved.pdf,Commercial Service Agreement,Service Agreement,Service provisioning,"Armstrong Utilities, Inc",Provider,Select Medical Corporation,Customer,4/28/2022,4/28/2022,36,1,$550.00 ,$500.00 ,Dedicated Internet Access,"8049 South Ave, Youngstown, Ohio 44512",Due and payable by Subscriber on the date indicated on such invoice.,,
20171651182043_Select Medical Corporation - 100Mb DIA  50Mb DIA - approved.pdf,Commercial Service Agreement,Service Agreement,Service provisioning,"Armstrong Utilities, Inc",Provider,Select Medical Corporation,Customer,4/28/2022,4/28/2022,36,1,$550.00 ,$500.00 ,Dedicated Internet Access,"8049 South Ave, Youngstown, Ohio 44512",Due and payable by Subscriber on the date indicated on such invoice.,,
20171651240905_Concentra Counter signed Contract.pdf,U.S. Services Agreement Master Service Order Form,Service Agreement,Service provisioning,Verizon Business Network Services LLC,Provider,CONCENTRA Health Services Inc.,Customer,Not specified.,4/28/2022,36,Not specified.,362.2,0,"Local Access, Internet Dedicated Port","13302 PENNSYLVANIA AVE, HAGERSTOWN, MD 21742-2675, United States",Not specified.,,
20171651241567_Comcast Business - Mt. Juliet Sales Order Counter Signed.pdf,Comcast Enterprise Services Sales Order Form,Service Agreement,Service provisioning,Comcast,Provider,Select Medical Corporation,Customer,4/27/2022,4/28/2022,36,Not specified.,$300.05 ,$199.00 ,"Network Interface, Bandwidth","5000 Crossings Cir, Mount Juliet, TN",Not specified.,,
20171651594717_Cox Business - Las Vegas NV_partially executed 05032022.pdf,Commercial Services Agreement,Service Agreement,Service provisioning,"Cox Communications Las Vegas, Inc.; Cox Nevada Telcom, LLC",Provider,Select Medical Corporation,Customer,4/28/2022,5/3/2022,12,12,$263.99 ,$124.00 ,"CBI 300 - 300Mbps x 30Mbps includes Cox WiFi 10 Free Access Accounts and 25 Free PC Security Suites, Dynamic IP Address, CBI Modem, Cox Business Internet Install, CBI Modem Activation","1700 Vegas Drive, Las Vegas, NV 89106",Not specified.,,
20171651689788_Select Medical 555 College Dr Fax line_CSA.pdf,Commercial Services Agreement,Service Agreement,Service provisioning,"Cox Communications Las Vegas, Inc.; Cox Nevada Telcom, LLC",Provider,Select Medical Corporation,Customer,5/3/2022,5/4/2022,12,12,$15.00 ,$0.00 ,"VoiceManager Utility Package w/ Flat Rated Line, Directory Listing, Cox Nickel 250 Inter/Intra, Cox Business eMTA Self-Install Kit","555 College Dr STE C, Henderson, NV 89015; 1700 Union Ave STE B, Baltimore, MD 21211; 1700 Vegas Drive, Las Vegas, NV 89106",Not specified.,,
20171652290720_Day Financial-Ten4 Hosted Voice Contract 051122.pdf,TEN4 SERVICES AGREEMENT,Service Agreement,Service provisioning,"Distrible&Scompting, Inc. dba Ten4",Provider,DAY Financial Group,Customer,Not specified,5/11/2022,36,month-to-month,$243.24 ,$635.00 ,"Hosted Voice Services, Business Complete Seat w/phone, Business Mobility Seat, Virtual Fax (100 pages), Snom C520 Conf Phone - Upcharge, Yealink T54W w/power supply - Upcharge, Netgear 16 Port POE Switch, On-site installation (half day), Phone Number LNP and/or Toll Free RESPORG","7230 Lee Deforest Drive, columbia, MD 21046",Payable at the beginning of each monthly billing cycle and are due net thirty (30) days from the date of the invoice.,,
